dataset,seed,architecture_id,rotations,entanglement,reps,twoq_count,logical_depth,n_params,train_loss,fit_bacc,val_bacc,test_bacc,test_auc,test_logloss,test_brier
iris_binary,17,A000,ry,full_chain,1,3,4,4,1.1929925361943488,0.328125,0.375,0.45,0.47,1.2355672386422278,0.403004981180685
iris_binary,17,A003,ry,full_chain,4,12,13,16,1.8498859094247673,0.21875,0.1875,0.35,0.09000000000000001,2.0133357532969396,0.5360048631661012
iris_binary,17,A013,ry,right_ladder,2,4,7,8,0.47453632909691223,0.71875,0.5,0.7,0.9400000000000001,0.4896129555004591,0.17582880787272837
iris_binary,17,A015,ry,right_ladder,4,8,13,16,0.40027704020893773,0.84375,0.6875,0.7,0.99,0.41630345637419286,0.14379881046239237
iris_binary,17,A018,rx+rz,full_chain,3,9,13,24,1.2568331211271326,0.28125,0.1875,0.35,0.32999999999999996,1.1851834563893375,0.4291728403580505
iris_binary,17,A020,rx+rz,outer_pairs,1,2,4,8,1.5602684915616298,0.28125,0.1875,0.35,0.26,1.6191972422198055,0.4743747461321995
iris_binary,17,A022,rx+rz,outer_pairs,3,6,10,24,0.8397969612404745,0.328125,0.3125,0.35,0.27,0.8565609618839927,0.3212668578667222
iris_binary,17,A025,rx+rz,left_ladder,2,4,9,16,1.0398605989507383,0.28125,0.1875,0.35,0.32999999999999996,0.9760692247783396,0.3708017153466786
iris_binary,17,A037,ry+rz,outer_pairs,2,4,7,16,1.1942779047223386,0.328125,0.3125,0.4,0.49999999999999994,1.2478053520793417,0.4040190320203868
iris_binary,17,A040,ry+rz,left_ladder,1,2,5,8,0.7265573712484497,0.53125,0.375,0.55,0.79,0.7434632712923326,0.2729700515282372
iris_binary,17,A042,ry+rz,left_ladder,3,6,13,24,1.095845629073122,0.40625,0.3125,0.5,0.47,1.1558231395048257,0.37240532457893816
iris_binary,17,A045,ry+rz,right_ladder,2,4,9,16,0.8707443293039071,0.453125,0.375,0.5,0.72,0.8920041901509638,0.3198449478149609
iris_binary,17,A047,ry+rz,right_ladder,4,8,17,32,0.5033185469939301,0.65625,0.5,0.65,0.92,0.5182293853997896,0.18786953950210836
iris_binary,17,A058,rx+ry+rz,left_ladder,3,6,16,36,0.6357674221048228,0.578125,0.375,0.6,0.83,0.614197974630952,0.21898502194034114
iris_binary,17,A059,rx+ry+rz,left_ladder,4,8,21,48,1.8248137900232773,0.21875,0.125,0.35,0.11,1.8192903683559394,0.536018657547396
iris_binary,17,A063,rx+ry+rz,right_ladder,4,8,21,48,1.7057152019232578,0.21875,0.125,0.35,0.06,1.6483652490104976,0.5328199753485862
iris_binary,29,A000,ry,full_chain,1,3,4,4,0.664161914487948,0.5625,0.375,0.55,0.8200000000000001,0.6799442603284174,0.2507160912858029
iris_binary,29,A003,ry,full_chain,4,12,13,16,0.5024112604420672,0.65625,0.5,0.65,0.93,0.5261280766650063,0.18982101872106777
iris_binary,29,A013,ry,right_ladder,2,4,7,8,1.5283205284392043,0.296875,0.25,0.35,0.31000000000000005,1.6340650725776382,0.4600760092450666
iris_binary,29,A015,ry,right_ladder,4,8,13,16,0.550717429341836,0.625,0.4375,0.65,0.92,0.5655765781647162,0.20719183073128158
iris_binary,29,A018,rx+rz,full_chain,3,9,13,24,1.120481220982299,0.296875,0.25,0.35,0.3,1.1184554987499842,0.40349209799696295
iris_binary,29,A020,rx+rz,outer_pairs,1,2,4,8,1.3599184341169404,0.28125,0.1875,0.35,0.26,1.3579342169104889,0.45408417992265077
iris_binary,29,A022,rx+rz,outer_pairs,3,6,10,24,1.2127791111241457,0.28125,0.1875,0.35,0.32999999999999996,1.1412674626249004,0.41788999474405786
iris_binary,29,A025,rx+rz,left_ladder,2,4,9,16,1.0926568826641452,0.265625,0.1875,0.35,0.35,1.0064322485377435,0.3807670255652388
iris_binary,29,A037,ry+rz,outer_pairs,2,4,7,16,0.33350683071835896,0.890625,0.75,0.8,0.99,0.3312001508631672,0.10763339790759438
iris_binary,29,A040,ry+rz,left_ladder,1,2,5,8,1.0133000443294484,0.40625,0.375,0.5,0.5900000000000001,1.0416464660192515,0.36016889754234505
iris_binary,29,A042,ry+rz,left_ladder,3,6,13,24,1.6634284252759235,0.265625,0.1875,0.35,0.25,1.73678642692779,0.48621370349573817
iris_binary,29,A045,ry+rz,right_ladder,2,4,9,16,0.620710953911766,0.59375,0.4375,0.6,0.86,0.635199192362284,0.23401250429691417
iris_binary,29,A047,ry+rz,right_ladder,4,8,17,32,0.8589904990438705,0.453125,0.375,0.55,0.72,0.8792575154509246,0.31627063634650965
iris_binary,29,A058,rx+ry+rz,left_ladder,3,6,16,36,0.7719579744672516,0.484375,0.6875,0.4,0.41000000000000003,0.74862889883594,0.27424459361184705
iris_binary,29,A059,rx+ry+rz,left_ladder,4,8,21,48,0.815058401820832,0.453125,0.375,0.55,0.65,0.8757008530402904,0.311848839851147
iris_binary,29,A063,rx+ry+rz,right_ladder,4,8,21,48,0.701118691271801,0.53125,0.375,0.55,0.7800000000000001,0.7057405396125089,0.25933232093400704
iris_binary,43,A000,ry,full_chain,1,3,4,4,1.4593690632150715,0.296875,0.25,0.35,0.35,1.5442945987131718,0.4509088415431436
